 Sent	Best	#Gold	#Best	#Corr	f-score
 127	9	12	12	12	1
 128	2	22	22	22	1
 129	7	9	9	8	0.888889
 130	0	3	3	1	0.333333
 131	4	8	9	7	0.823529
 132	24	14	13	11	0.814815
 133	7	8	8	8	1
 134	7	14	14	14	1
 135	3	9	9	9	1
 136	0	13	13	13	1
 137	15	4	4	4	1
 138	7	19	17	15	0.833333
 139	0	30	27	24	0.842105
 140	10	8	8	8	1
 141	27	16	15	15	0.967742
 142	24	28	33	25	0.819672
 143	26	23	24	21	0.893617
 144	4	18	17	16	0.914286
 145	0	13	13	13	1
 146	18	12	13	8	0.64
 147	41	23	23	21	0.913043
 148	38	24	25	24	0.979592
 149	6	26	26	26	1
 150	31	14	15	14	0.965517
 151	6	9	9	9	1
 152	11	10	10	10	1
 153	9	9	9	9	1
 154	2	5	5	5	1
 155	5	20	19	16	0.820513
 156	7	29	28	28	0.982456
 157	1	8	8	8	1
 158	5	27	27	27	1
 159	26	21	21	18	0.857143
 160	25	19	18	17	0.918919
 161	0	19	19	19	1
 162	12	29	29	29	1
 163	0	17	17	16	0.941176
 164	56	41	40	35	0.864198
 165	2	4	4	4	1
 166	1	42	39	36	0.888889
 167	11	41	37	35	0.897436
 168	13	21	21	19	0.904762
 169	2	5	5	5	1
 170	6	8	8	8	1
 171	22	14	14	14	1
 172	4	15	15	15	1
 173	14	11	11	11	1
 174	4	9	9	9	1
 175	14	8	8	8	1
 176	39	31	31	30	0.967742
 177	9	19	19	19	1
 178	31	27	26	26	0.981132
 179	16	17	17	17	1
 180	39	26	26	26	1
 181	22	20	21	20	0.97561
 182	4	19	19	19	1
 183	8	20	21	20	0.97561
 184	10	9	9	9	1
 185	15	11	11	11	1
 186	3	7	7	7	1
 187	5	11	11	11	1
 188	4	11	11	11	1
 189	0	32	37	26	0.753623
 190	9	15	16	15	0.967742
 191	3	35	37	32	0.888889
 192	31	29	29	28	0.965517
 193	5	8	7	7	0.933333
 194	0	12	11	11	0.956522
 195	24	26	26	25	0.961538
 196	2	26	25	24	0.941176
 197	25	35	35	34	0.971429
 198	48	16	16	16	1
 199	20	24	24	22	0.916667
 200	62	20	19	17	0.871795
 201	4	21	20	14	0.682927
 202	7	6	6	6	1
 203	19	22	21	21	0.976744
 204	27	24	24	24	1
 205	21	28	28	28	1
 206	74	22	21	17	0.790698
 207	6	21	21	21	1
 208	0	24	26	16	0.64
 209	13	22	23	21	0.933333
 210	7	34	33	31	0.925373
 211	19	23	23	23	1
 212	7	12	12	12	1
 213	21	37	37	27	0.72973
 215	41	20	21	17	0.829268
 216	71	27	26	26	0.981132
 217	0	22	22	22	1
 218	5	8	8	8	1
 219	36	9	9	9	1
 220	26	9	9	9	1
 221	5	30	32	29	0.935484
 222	35	16	16	16	1
 223	28	37	37	37	1
 224	4	8	8	8	1
 225	5	25	26	25	0.980392
 226	1	48	47	40	0.842105
 227	42	14	16	13	0.866667
 228	5	2	1	1	0.666667
 229	7	18	18	18	1
 230	5	24	25	22	0.897959
 231	33	37	37	33	0.891892
 232	45	33	34	33	0.985075
 233	1	7	7	7	1
 234	13	12	12	12	1
 235	22	32	32	32	1
 236	0	7	7	7	1
 237	24	19	19	19	1
 238	0	26	26	26	1
 239	3	14	14	14	1
 240	10	19	19	19	1
 241	1	17	17	17	1
 242	0	13	13	13	1
 243	9	10	10	10	1
 244	18	14	14	14	1
 245	7	19	19	19	1
 246	4	23	23	22	0.956522
 247	3	19	19	15	0.789474
 248	15	32	32	32	1
 249	12	12	12	12	1
 250	0	14	14	14	1
 251	10	22	22	22	1
 252	5	9	9	9	1
 253	2	13	12	12	0.96
 254	3	18	18	18	1
 255	1	6	7	5	0.769231
 256	0	8	8	8	1
 257	40	30	28	23	0.793103
 258	15	13	11	11	0.916667
 259	32	29	30	28	0.949153
 260	27	27	30	18	0.631579
 261	4	6	6	6	1
 262	1	16	15	15	0.967742
 263	29	9	10	9	0.947368
 264	0	6	6	6	1
 265	12	19	18	16	0.864865
 266	21	22	21	20	0.930233
 267	1	5	5	5	1
 268	11	14	13	12	0.888889
 269	2	16	16	16	1
 270	7	17	17	17	1
 271	10	35	35	32	0.914286
 272	7	14	15	14	0.965517
 273	0	7	7	7	1
 274	20	17	17	17	1
 275	5	4	4	4	1
 276	6	1	1	1	1
 277	8	1	1	1	1
 278	4	1	2	1	0.666667
 279	2	16	15	15	0.967742
 280	0	8	7	7	0.933333
 281	2	6	5	5	0.909091
 282	0	11	11	11	1
 283	0	6	5	4	0.727273
 284	6	7	7	7	1
 285	3	3	3	3	1
 286	6	4	4	4	1
 287	2	1	1	1	1
 288	9	14	14	14	1
 289	5	7	7	7	1
 290	36	13	14	13	0.962963
 291	8	10	10	10	1
 292	6	6	6	6	1
 293	8	6	6	6	1
 294	18	8	8	8	1
 295	0	14	12	11	0.846154
 296	11	23	23	22	0.956522
 297	11	28	28	24	0.857143
 298	0	12	12	12	1
 299	12	7	6	3	0.461538
 300	8	9	9	9	1
 301	16	4	4	4	1
 302	12	5	5	5	1
 303	4	9	11	7	0.7
 304	3	12	12	12	1
 305	15	12	12	12	1
 306	45	32	35	23	0.686567
 307	10	5	5	5	1
 308	17	26	26	20	0.769231
 309	0	35	34	26	0.753623
 310	24	12	12	9	0.75
 311	2	7	7	7	1
 312	5	22	23	19	0.844444
 313	22	13	13	13	1
 314	6	4	4	4	1
 315	4	16	17	16	0.969697
 316	2	4	4	4	1
 317	9	5	4	3	0.666667
 318	1	4	5	4	0.888889
 319	10	5	4	4	0.888889
 320	7	27	28	27	0.981818
 321	24	24	24	24	1
 322	0	5	5	5	1
 323	24	8	8	8	1
 324	0	8	8	8	1
 325	7	19	19	18	0.947368
 326	0	12	12	12	1
 327	6	12	12	12	1
 328	4	11	11	11	1
 329	14	21	21	20	0.952381
 330	18	27	26	25	0.943396
 331	33	8	8	8	1
 332	15	11	11	11	1
 333	26	30	29	29	0.983051
 334	3	7	7	7	1
 335	23	13	13	13	1
 336	0	6	6	6	1
 337	3	13	13	13	1
 338	1	3	3	2	0.666667
 339	37	28	27	27	0.981818
 340	14	46	46	44	0.956522
 341	1	19	19	19	1
 342	11	10	10	10	1
 343	18	30	31	30	0.983607
 344	16	38	39	33	0.857143
 345	13	37	35	35	0.972222
 346	2	17	17	17	1
 347	9	14	14	14	1
 348	5	29	29	25	0.862069
 349	4	12	12	12	1
 350	0	17	16	16	0.969697
 351	1	18	17	17	0.971429
 352	42	28	29	28	0.982456
 353	0	18	18	18	1
 354	0	11	11	11	1
 355	2	10	10	10	1
 356	11	15	15	15	1
 357	22	10	10	10	1
 358	17	14	14	14	1
 359	16	28	28	27	0.964286
 360	7	12	12	12	1
 361	1	8	8	8	1
 362	31	21	21	21	1
 363	28	43	40	37	0.891566
 364	5	18	17	17	0.971429
 365	0	10	10	10	1
 366	1	17	17	16	0.941176
 367	5	12	13	12	0.96
 368	14	22	22	22	1
 369	31	11	11	11	1
 370	10	12	12	12	1
 371	41	22	21	21	0.976744
 372	0	13	14	13	0.962963
 373	1	13	13	13	1
 374	8	16	16	16	1
 375	3	16	17	16	0.969697
 376	3	17	17	17	1
 377	6	24	24	23	0.958333
 378	4	17	18	17	0.971429
 379	24	13	13	13	1
 380	4	26	27	26	0.981132
 381	35	19	19	18	0.947368
 382	9	16	16	15	0.9375
 383	4	6	6	6	1
 384	2	6	5	5	0.909091
 385	3	4	4	4	1
 386	4	6	6	6	1
 387	5	3	3	3	1
 388	1	3	3	3	1
 389	0	4	4	4	1
 390	13	8	8	8	1
 391	0	10	11	10	0.952381
 392	0	13	13	13	1
 393	1	12	12	12	1
 394	30	13	13	12	0.923077
 395	27	12	12	12	1
 396	14	18	18	18	1
 397	1	18	18	18	1
 398	20	10	10	10	1
 399	14	20	16	14	0.777778
 400	13	13	13	13	1
 401	3	20	20	20	1
 402	10	28	28	28	1
 403	1	16	15	15	0.967742
 404	16	25	23	23	0.958333
 405	3	38	37	31	0.826667
 406	8	35	34	34	0.985507
 407	1	17	16	15	0.909091
 408	5	15	15	15	1
 409	8	27	27	27	1
 410	32	16	15	15	0.967742
 411	2	25	25	25	1
 412	1	13	11	9	0.75
 413	8	12	12	12	1
 414	17	16	16	16	1
 415	27	40	40	40	1
 416	8	9	10	9	0.947368
 417	3	4	4	4	1
 418	13	17	17	17	1
 419	15	13	13	13	1
 420	4	17	17	17	1
 421	0	20	18	18	0.947368
 422	3	10	10	10	1
 423	9	14	14	12	0.857143
 424	1	22	22	22	1
 425	10	21	23	16	0.727273
 426	12	9	9	9	1
 427	0	27	26	26	0.981132
 428	29	24	23	21	0.893617
 429	6	39	38	38	0.987013
 430	18	4	4	4	1
 431	0	4	4	4	1
 432	12	11	12	11	0.956522
 433	7	21	21	19	0.904762
 434	5	20	21	20	0.97561
 435	3	16	16	16	1
 436	44	23	21	20	0.909091
 437	26	21	21	19	0.904762
 438	12	14	14	14	1
 439	22	23	23	22	0.956522
 440	0	15	15	15	1
 441	10	19	19	19	1
 442	1	33	32	31	0.953846
 443	20	24	26	22	0.88
 444	3	12	12	12	1
 445	29	14	14	14	1
 446	1	17	17	17	1
 447	4	9	9	9	1
 448	7	34	35	29	0.84058
 449	3	10	10	10	1
 450	1	13	12	12	0.96
 451	1	32	32	31	0.96875
 452	29	16	16	14	0.875
 453	2	7	7	7	1
 454	12	28	28	28	1
 455	0	34	31	31	0.953846
 456	1	19	20	19	0.974359
 457	9	44	43	39	0.896552
 458	24	13	13	13	1
 459	1	4	4	4	1
 460	6	15	15	15	1
 461	34	29	28	28	0.982456
 462	7	8	8	8	1
 463	23	19	20	19	0.974359
 464	5	26	26	26	1
 465	0	55	56	54	0.972973
 466	37	11	11	11	1
 467	14	7	7	7	1
 468	3	25	24	23	0.938776
 469	15	12	12	12	1
 470	1	34	36	30	0.857143
 471	12	26	26	26	1
 472	4	14	14	14	1
 473	5	12	12	12	1
 474	34	21	21	21	1
 475	1	8	8	8	1
 476	16	7	7	7	1
 477	17	19	19	18	0.947368
 478	34	27	27	17	0.62963
 479	89	22	22	22	1
 480	27	26	26	26	1
 481	18	22	22	15	0.681818
 482	2	35	37	26	0.722222
 483	4	14	14	14	1
 484	24	19	20	19	0.974359
 485	36	14	14	14	1
 486	7	21	21	21	1
 487	2	4	4	4	1
 488	26	13	13	13	1
 489	0	17	17	17	1
 490	5	36	36	36	1
 491	5	17	16	16	0.969697
 492	32	22	22	19	0.863636
 493	0	14	14	14	1
 494	1	13	13	13	1
 495	11	25	25	25	1
 496	25	23	23	23	1
 497	85	33	33	33	1
 498	4	18	18	16	0.888889
 499	13	12	12	12	1
 500	25	18	18	17	0.944444
 501	19	30	29	28	0.949153
 502	19	18	18	18	1
 503	19	18	18	18	1
 504	26	47	46	41	0.88172
 505	24	9	9	9	1
 506	26	25	24	24	0.979592
 507	18	19	19	18	0.947368
 508	41	30	26	26	0.928571
 509	18	10	10	10	1
 510	4	14	14	12	0.857143
 511	1	7	7	7	1
 512	0	12	12	12	1
 513	2	12	12	12	1
 514	0	24	24	24	1
 515	7	12	12	12	1
 516	29	15	15	15	1
 517	2	13	13	13	1
 518	12	6	6	6	1
 519	19	11	11	11	1
 520	2	7	7	7	1
 521	0	4	4	4	1
 522	1	6	6	6	1
 523	3	3	3	3	1
 524	11	7	7	7	1
 525	0	4	4	4	1
 526	5	6	6	6	1
 527	46	14	15	14	0.965517
 528	10	10	10	10	1
 529	3	4	4	3	0.75
 530	66	14	15	13	0.896552
 531	0	1	1	1	1
 532	6	12	12	12	1
 533	19	16	17	16	0.969697
 534	23	25	25	25	1
 535	28	22	22	20	0.909091
 536	17	23	24	23	0.978723
 537	15	15	15	15	1
 538	6	23	23	23	1
 539	2	16	15	15	0.967742
 540	3	35	35	35	1
 541	4	24	24	24	1
 542	0	12	12	12	1
 543	39	26	26	26	1
 544	24	43	42	42	0.988235
 545	26	26	25	23	0.901961
 546	1	30	29	26	0.881356
 547	11	20	20	20	1
 548	1	21	21	21	1
 549	17	30	30	30	1
 550	4	8	9	8	0.941176
 551	19	13	12	11	0.88
 552	0	13	13	13	1
 553	23	21	20	19	0.926829
 554	7	24	25	22	0.897959
 555	39	29	29	29	1
 556	13	27	27	26	0.962963
 557	2	20	20	20	1
 558	2	35	35	34	0.971429
 559	21	22	23	22	0.977778
 560	7	13	13	13	1
 561	11	29	29	29	1
 562	11	18	19	15	0.810811
 563	32	30	30	24	0.8
 564	12	26	29	23	0.836364
 565	11	13	13	13	1
 566	2	5	4	4	0.888889
 567	9	18	15	12	0.727273
 568	1	10	10	10	1
 569	2	18	17	17	0.971429
 570	8	18	18	18	1
 571	10	7	7	7	1
 572	24	29	29	26	0.896552
 573	9	12	12	12	1
 574	5	20	20	19	0.95
 575	28	16	16	16	1
 576	8	28	26	26	0.962963
 577	4	19	19	19	1
 578	2	15	15	15	1
 579	20	16	16	15	0.9375
 580	68	27	29	19	0.678571
 581	14	34	34	34	1
 582	0	8	8	8	1
 583	9	20	20	20	1
 584	9	19	21	19	0.95
 585	22	17	17	17	1
 586	9	13	14	13	0.962963
 587	38	29	29	29	1
 588	4	21	20	17	0.829268
 589	17	17	17	17	1
 590	1	10	10	10	1
 591	0	21	23	21	0.954545
 592	7	18	18	18	1
 593	29	17	17	17	1
 594	5	13	13	13	1
 595	2	26	26	26	1
 596	21	32	31	31	0.984127
 597	62	10	10	10	1
 598	5	22	22	22	1
 599	5	19	19	19	1
 600	0	17	16	15	0.909091
 601	9	25	23	21	0.875
 602	26	22	21	20	0.930233
 603	24	17	17	17	1
 604	18	30	29	29	0.983051
 605	7	13	13	13	1
 606	7	18	18	18	1
 607	7	16	15	14	0.903226
 608	30	14	14	14	1
 609	3	6	6	6	1
 610	11	9	9	9	1
 611	17	22	23	19	0.844444
 612	1	23	23	23	1
 613	3	35	34	22	0.637681
 614	39	22	21	20	0.930233
 615	6	11	11	10	0.909091
 616	1	5	5	5	1
 617	11	14	14	14	1
 618	16	19	19	19	1
 619	3	24	22	20	0.869565
 620	1	10	10	10	1
 621	7	20	20	18	0.9
 622	1	12	12	12	1
 623	9	24	24	24	1
 624	3	22	21	19	0.883721
 625	0	4	4	4	1
 626	15	29	26	26	0.945455
 627	11	9	9	9	1
 628	4	19	19	19	1
 629	16	17	18	17	0.971429
 630	2	22	19	19	0.926829
 631	2	20	20	20	1
 632	8	25	25	24	0.96
 633	5	22	18	16	0.8
 634	0	12	12	12	1
 635	8	13	13	13	1
 636	5	21	21	21	1
 637	13	23	23	23	1
 638	7	17	17	17	1
 639	16	18	18	17	0.944444
 640	0	18	16	16	0.941176
 641	1	11	11	11	1
 642	24	27	27	27	1
 643	0	4	4	4	1
 644	2	23	23	23	1
 645	10	12	12	11	0.916667
 646	0	13	12	12	0.96
 647	15	28	28	28	1
 648	10	35	36	35	0.985915
 649	2	8	8	8	1
 650	1	19	20	18	0.923077
 651	31	27	25	22	0.846154
 652	1	28	24	23	0.884615
 653	3	24	24	24	1
 654	54	32	31	29	0.920635
 655	24	48	48	44	0.916667
 656	13	24	25	24	0.979592
 657	27	32	32	32	1
 658	7	21	20	19	0.926829
 659	0	21	21	21	1
 660	4	23	23	23	1
 661	9	18	18	18	1
 662	13	19	19	18	0.947368
 663	2	22	23	18	0.8
 664	14	22	22	22	1
 665	7	19	20	19	0.974359
 666	17	27	28	25	0.909091
 667	17	23	23	23	1
 668	2	25	23	22	0.916667
 669	24	30	29	28	0.949153
 670	17	24	23	23	0.978723
 671	23	22	22	22	1
 672	15	23	22	21	0.933333
 673	13	38	38	37	0.973684
 674	2	8	7	6	0.8
 675	7	21	23	18	0.818182
 676	2	28	28	28	1
 677	4	25	25	25	1
 678	16	29	30	29	0.983051
 679	55	25	25	25	1
 680	2	6	6	6	1
 681	15	32	32	32	1
 682	13	16	16	16	1
 683	5	23	23	23	1
 684	10	33	32	30	0.923077
 685	2	17	17	17	1
 686	1	10	10	9	0.9
 687	48	28	27	26	0.945455
 688	2	16	16	16	1
 689	29	43	43	43	1
 690	0	17	17	17	1
 691	7	21	20	20	0.97561
 692	3	14	14	14	1
 693	19	20	21	19	0.926829
 694	7	10	10	10	1
 695	24	26	26	26	1
 696	1	17	17	17	1
 697	36	19	19	19	1
 698	17	11	11	11	1
 699	11	34	32	31	0.939394
 700	1	4	4	4	1
 701	30	35	35	35	1
 702	10	20	20	20	1
 703	17	22	22	22	1
 704	1	18	18	18	1
 705	14	16	16	15	0.9375
 706	5	19	18	18	0.972973
 707	0	17	17	16	0.941176
 708	21	24	25	22	0.897959
 709	11	48	46	44	0.93617
 710	8	26	27	23	0.867925
 711	25	42	38	36	0.9
 712	2	17	17	17	1
 713	27	27	27	27	1
 714	6	10	13	9	0.782609
 715	10	8	8	6	0.75
 716	1	5	5	5	1
 717	10	19	19	19	1
 718	16	11	11	11	1
 719	34	22	22	22	1
 720	2	18	18	15	0.833333
 721	27	18	19	18	0.972973
 722	0	19	20	18	0.923077
 723	3	31	31	31	1
 724	0	20	20	20	1
 725	1	20	21	20	0.97561
 726	3	16	16	16	1
 727	0	33	33	33	1
 728	30	18	18	18	1
 729	16	15	15	15	1
 730	4	21	18	15	0.769231
 731	13	27	27	26	0.962963
 732	14	20	20	20	1
 733	15	11	11	11	1
 734	50	30	29	23	0.779661
 735	1	2	2	2	1
 736	3	16	16	16	1
 737	28	16	16	11	0.6875
 738	0	16	16	16	1
 739	0	15	15	15	1
 740	18	24	24	23	0.958333
 741	18	6	6	6	1
 742	1	36	35	35	0.985915
 743	7	14	13	12	0.888889
 744	41	18	18	18	1
 745	12	16	16	16	1
 746	6	6	6	6	1
 747	13	7	8	7	0.933333
 748	27	20	20	19	0.95
 749	8	34	34	33	0.970588
 750	28	25	23	23	0.958333
 751	0	7	5	4	0.666667
 752	2	5	5	5	1
 753	13	35	35	34	0.971429
 754	3	14	14	14	1
 755	6	31	31	31	1
 756	5	21	20	20	0.97561
 757	23	24	24	23	0.958333
 758	0	36	34	33	0.942857
 759	1	12	12	12	1
 760	11	21	21	21	1
 761	5	21	21	16	0.761905
 762	32	18	18	18	1
 763	0	12	12	12	1
 764	14	17	17	16	0.941176
 765	21	10	10	10	1
 766	12	18	18	18	1
 767	1	20	20	20	1
 768	16	43	44	42	0.965517
 769	3	10	10	9	0.9
 770	2	28	28	27	0.964286
 771	40	32	28	27	0.9
 772	12	10	9	9	0.947368
 773	0	5	5	5	1
 774	4	18	19	16	0.864865
 775	10	12	12	9	0.75
 776	2	13	13	13	1
 777	19	16	14	14	0.933333
 778	15	5	5	5	1
 779	1	15	15	15	1
 780	1	4	4	4	1
 781	8	29	28	28	0.982456
 782	12	12	12	10	0.833333
 783	12	23	19	19	0.904762
 784	14	11	11	11	1
 785	10	24	24	24	1
 786	32	33	32	32	0.984615
 787	9	25	25	24	0.96
 788	4	16	16	16	1
 789	2	18	18	18	1
 790	2	15	15	15	1
 791	4	14	15	14	0.965517
 792	2	18	18	18	1
 793	8	6	6	6	1
 794	7	11	11	11	1
 795	28	48	48	36	0.75
 796	19	11	11	11	1
 797	20	27	27	25	0.925926
 798	77	28	28	24	0.857143
 799	19	15	13	13	0.928571
 800	13	18	19	17	0.918919
 801	15	11	11	11	1
 802	37	22	23	20	0.888889
 803	42	48	48	44	0.916667
 804	2	6	6	6	1
 805	40	22	22	21	0.954545
 806	9	10	10	10	1
 807	41	57	57	46	0.807018
 808	12	21	20	19	0.926829
 809	22	18	17	16	0.914286
 810	7	19	18	13	0.702703
 811	14	24	23	22	0.93617
 812	6	13	13	13	1
 813	11	16	16	16	1
 814	10	29	27	23	0.821429
 815	6	29	29	28	0.965517
 816	22	37	37	29	0.783784
 817	5	17	17	17	1
 818	7	39	39	36	0.923077
 819	24	19	19	19	1
 820	24	26	24	23	0.92
 821	1	22	19	18	0.878049
 822	8	21	21	19	0.904762
 823	28	18	19	17	0.918919
 824	10	7	7	7	1
 825	12	17	17	17	1
 826	5	10	10	10	1
 827	4	13	13	13	1
 828	12	14	14	14	1
 829	18	25	25	25	1
 830	11	20	20	20	1
 831	19	26	27	26	0.981132
 832	21	27	27	27	1
 833	0	8	8	8	1
 834	2	10	10	10	1
 835	7	22	22	20	0.909091
 836	4	28	27	26	0.945455
 837	4	4	4	4	1
 838	3	8	8	8	1
 839	20	32	31	26	0.825397
 840	1	13	13	13	1
 841	30	18	18	18	1
 842	1	21	21	21	1
 843	22	22	22	22	1
 844	18	16	16	16	1
 845	0	6	6	6	1
 846	20	13	13	13	1
 847	1	10	10	10	1
 848	7	8	7	7	0.933333
 849	3	7	7	7	1
 850	21	23	24	23	0.978723
 851	12	13	13	13	1
 852	17	26	26	25	0.961538
 853	0	6	6	6	1
 854	5	17	17	17	1
 855	5	16	15	15	0.967742
 856	5	19	19	19	1
 857	7	19	19	19	1
 858	13	9	11	9	0.9
 859	2	11	12	11	0.956522
 860	16	16	15	14	0.903226
 861	1	7	7	7	1
 862	1	8	8	8	1
 863	4	23	23	23	1
 864	0	12	12	12	1
 865	12	12	13	12	0.96
 866	0	14	14	14	1
 867	1	7	7	7	1
 868	0	15	15	15	1
 869	0	1	1	1	1
 870	2	5	5	5	1
 871	4	16	16	15	0.9375
 872	6	6	6	6	1
 873	16	12	12	12	1
 874	4	10	10	10	1
 875	1	29	29	29	1
 876	15	27	28	26	0.945455
 877	10	28	28	28	1
 878	12	25	25	25	1
 879	8	18	18	18	1
 880	18	21	21	21	1
 881	19	23	23	23	1
 882	7	8	8	8	1
 883	5	22	22	22	1
 884	0	13	13	13	1
 885	42	24	25	24	0.979592
 886	3	12	12	12	1
 887	41	27	27	27	1
 888	21	41	39	38	0.95
 889	24	22	22	22	1
 890	5	16	16	16	1
 891	16	34	34	34	1
 892	11	13	13	13	1
 893	3	16	16	16	1
 894	22	13	14	13	0.962963
 895	0	12	12	11	0.916667
 896	22	17	18	17	0.971429
 897	16	16	16	14	0.875
 898	5	26	26	26	1
 899	7	13	13	13	1
 900	0	19	20	19	0.974359
 901	6	12	12	12	1
 902	15	21	21	21	1
 903	7	34	33	29	0.865672
 904	18	7	7	7	1
 905	1	1	1	1	1
 906	50	19	19	19	1
 907	1	11	11	11	1
 908	3	15	14	13	0.896552
 909	9	23	22	22	0.977778
 910	19	20	20	20	1
 911	20	37	38	37	0.986667
 912	8	33	31	31	0.96875
 913	8	31	31	31	1
 914	4	19	18	17	0.918919
 915	0	37	36	36	0.986301
 916	4	4	4	4	1
 917	0	13	13	13	1
 918	16	10	10	10	1
 919	20	14	14	14	1
 920	13	12	12	12	1
 921	61	15	12	12	0.888889
 922	17	18	18	18	1
 923	0	6	6	6	1
 924	4	24	25	24	0.979592
 925	3	25	25	25	1
 926	0	35	37	27	0.75
 927	21	18	18	18	1
 928	22	21	18	18	0.923077
 929	20	25	27	25	0.961538
 930	2	17	16	13	0.787879
 931	1	9	9	9	1
 932	5	9	9	9	1
 933	5	7	7	7	1
 934	2	16	16	12	0.75
 935	0	5	5	5	1
 936	8	15	16	14	0.903226
 937	12	12	12	12	1
 938	11	11	12	11	0.956522
 939	2	11	11	11	1
 940	7	23	24	21	0.893617
 941	5	8	8	8	1
 942	3	9	11	9	0.9
 943	36	25	19	15	0.681818
 944	29	27	27	27	1
 945	4	8	8	8	1
 946	18	22	22	21	0.954545
 947	22	25	25	25	1
 948	20	10	11	10	0.952381
 949	0	10	10	10	1
 950	19	32	32	31	0.96875
 951	22	22	22	22	1
 952	7	21	22	21	0.976744
 953	3	35	35	35	1
 954	9	19	19	19	1
 955	0	20	20	20	1
 956	5	31	34	29	0.892308
 957	9	25	25	25	1
 958	38	26	26	26	1
 959	1	17	17	17	1
 960	17	30	27	27	0.947368
 961	3	29	29	26	0.896552
 962	18	40	42	33	0.804878
 963	6	21	21	21	1
 964	9	28	30	28	0.965517
 965	1	23	23	23	1
 966	1	19	19	19	1
 967	3	23	23	23	1
 968	7	39	39	31	0.794872
 969	7	22	25	19	0.808511
 970	2	38	38	37	0.973684
 971	0	8	8	8	1
 972	41	24	24	22	0.916667
 973	42	19	20	18	0.923077
 974	11	19	20	17	0.871795
 975	5	27	26	26	0.981132
 976	0	4	4	4	1
 977	4	26	26	26	1
 978	5	14	14	14	1
